iter	RMSE
0	5.850980191
1	5.67132027
2	5.497423141
3	5.349004045
4	5.215334824
5	5.054590075
6	4.910939741
7	4.794879964
8	4.66258647
9	4.545046008
10	4.392588502
11	4.269577794
12	4.149929019
13	4.033854131
14	3.906755381
15	3.811753263
16	3.693450718
17	3.601056695
18	3.495501573
19	3.385457921
20	3.281724896
21	3.197365786
22	3.106822282
23	3.046072319
24	2.980703085
25	2.908811414
26	2.84860616
27	2.774940294
28	2.705954736
29	2.638448109
30	2.566525823
31	2.511215824
32	2.460357851
33	2.412802329
34	2.354891135
35	2.309085619
36	2.261756021
37	2.212734129
38	2.162508739
39	2.119315144
40	2.069969168
41	2.028212243
42	1.987718699
43	1.956039859
44	1.923897571
45	1.891741475
46	1.847724795
47	1.803502427
48	1.762515508
49	1.732150564
50	1.704388557
51	1.672022899
52	1.638732063
53	1.61397326
54	1.58263296
55	1.54801638
56	1.524875222
57	1.503223286
58	1.476653537
59	1.451625296
60	1.421700332
61	1.397010084
62	1.379426792
63	1.357319821
64	1.331884035
65	1.316603948
66	1.295338927
67	1.273598146
68	1.254879975
69	1.235210285
70	1.215278302
71	1.199372371
72	1.181037785
73	1.164308707
74	1.14574437
75	1.13053365
76	1.113144305
77	1.100707524
78	1.084480939
79	1.066927536
80	1.050453539
81	1.037335736
82	1.019947847
83	1.006556224
84	0.991799622
85	0.9758557395
86	0.9613796711
87	0.9510322297
88	0.9397213063
89	0.9305698442
90	0.9201991484
91	0.9100969594
92	0.9005303258
93	0.8875315414
94	0.8757784887
95	0.8649177375
96	0.8548137207
97	0.8465982937
98	0.8351315659
99	0.8247654076
100	0.8160506726
101	0.8078666469
102	0.79617398
103	0.7864967728
104	0.7785480011
105	0.7692712247
106	0.7597388868
107	0.7527342321
108	0.7424313187
109	0.7327570313
110	0.7247003025
111	0.7145305282
112	0.7064972935
113	0.6984110303
114	0.6886404652
115	0.6792299937
116	0.670584561
117	0.6618803801
118	0.6562968911
119	0.6470985862
120	0.6405045136
121	0.6323929835
122	0.6250276076
123	0.6163979574
124	0.6110362794
125	0.6048435728
126	0.5980976793
127	0.5936666565
128	0.5873498233
129	0.5806713533
130	0.5747512802
131	0.5686908904
132	0.5622670389
133	0.5580413665
134	0.5520239171
135	0.5459975728
136	0.5397630948
137	0.5336794228
138	0.5281645897
139	0.5240081363
140	0.5194985603
141	0.516115369
142	0.5113484798
143	0.5062370094
144	0.5012294312
145	0.4979126744
146	0.4933740464
147	0.4889326067
148	0.4859776228
149	0.4818354481
150	0.4770538363
151	0.4738077618
152	0.472347048
153	0.4680682798
154	0.4637096753
155	0.4606621185
156	0.4576678917
157	0.4566000872
158	0.4538732223
159	0.4512368675
160	0.4484892623
161	0.4451488288
162	0.4421831264
163	0.4393252716
164	0.4377481774
165	0.434993219
166	0.4341793902
167	0.4310907611
168	0.4302424108
169	0.429411013
170	0.426454609
171	0.42569251
172	0.4249442785
173	0.4242104027
174	0.4234879819
175	0.4227288137
176	0.4220364828
177	0.4213067302
178	0.4205838652
179	0.4199303216
180	0.4192891986
181	0.4186606026
182	0.4179891143
183	0.4154942165
184	0.4148507205
185	0.4142643354
186	0.4136868344
187	0.4131222984
188	0.4125249164
189	0.4119780965
190	0.4114423196
191	0.4109166116
192	0.4104080622
193	0.4099093416
194	0.4094108327
195	0.4089302759
196	0.4084006606
197	0.4078825128
198	0.4073755601
199	0.4069270895
200	0.4064872638
201	0.4060559087
202	0.4056328539
203	0.4052179326
204	0.4048109816
205	0.4029581423
206	0.4025133674
207	0.4021280564
208	0.4017501263
209	0.40132749
210	0.4009447817
211	0.3991002431
212	0.3987279206
213	0.3983626957
214	0.3980044276
215	0.3962424876
216	0.3958933093
217	0.3955513647
218	0.3952158328
219	0.3948867494
220	0.3924688325
221	0.3921086568
222	0.3917564435
223	0.3914570746
224	0.3898027983
225	0.3895120284
226	0.3892373828
227	0.3889677461
228	0.3887030219
229	0.3869525135
230	0.3866929394
231	0.3864380747
232	0.3861878305
233	0.3844952356
234	0.3842495684
235	0.3840083778
236	0.3831894243
237	0.3816788737
238	0.3814460043
239	0.3812173443
240	0.3809928154
241	0.3802877469
242	0.3780956712
243	0.3778755506
244	0.377659411
245	0.3769783759
246	0.3763115683
247	0.3742669866
248	0.3740587716
249	0.3738543318
250	0.3736535965
251	0.3734438386
252	0.3728016099
253	0.3721726137
254	0.3698477883
255	0.3679105425
256	0.3677198036
257	0.3675325265
258	0.3673486462
259	0.3671562518
260	0.3649248031
261	0.3643326001
262	0.3637523109
263	0.3632156706
264	0.3622471189
265	0.3601308345
266	0.3594908548
267	0.359333489
268	0.3591786683
269	0.3582934741
270	0.3581417124
271	0.3572064858
272	0.35705673
273	0.3564431892
274	0.3544316269
275	0.3542844907
276	0.3536898277
277	0.3535457706
278	0.3527010822
279	0.3518027075
280	0.3516610604
281	0.3496017263
282	0.3487126437
283	0.3485737913
284	0.3477016988
285	0.3458200476
286	0.3456825531
287	0.3451220073
288	0.3449874077
289	0.3443538035
290	0.3442224041
291	0.3436078132
292	0.3417976654
293	0.3411990904
294	0.340617324
295	0.3404904001
296	0.3396506738
297	0.3379143589
298	0.3373471925
299	0.3372224326
300	0.3370997006
301	0.3363068585
302	0.3344902387
303	0.3336678118
304	0.3335479786
305	0.3327413821
306	0.3326231461
307	0.3304850282
308	0.3303675536
309	0.3295793536
310	0.3294634696
311	0.3289298697
312	0.3271917996
313	0.3253162317
314	0.3236259208
315	0.3235107868
316	0.3230150212
317	0.321429781
318	0.3194956668
319	0.3182615762
320	0.3165650999
321	0.3153711292
322	0.3152405033
323	0.3151122876
324	0.3149864358
325	0.3128047937
326	0.3111979878
327	0.3100510722
328	0.3099272117
329	0.3079487563
330	0.3063915127
331	0.3062702325
332	0.30615118
333	0.3050482875
334	0.3049308403
335	0.3030471677
336	0.3015458943
337	0.3010079056
338	0.3004851919
339	0.2999771547
340	0.2994832283
341	0.299002877
342	0.2985355936
343	0.2980808972
344	0.2976383317
345	0.2960650608
346	0.2952168777
347	0.2951035683
348	0.2949923729
349	0.2941599921
350	0.2940506545
351	0.2939433487
352	0.2931264391
353	0.2930209092
354	0.2915081875
355	0.2907043368
356	0.2905997996
357	0.2894992799
358	0.2887077662
359	0.2874497271
360	0.2859503791
361	0.2858481142
362	0.2850731248
363	0.2840141012
364	0.2827786999
365	0.281592564
366	0.2805674941
367	0.279162158
368	0.2787649088
369	0.2775653091
370	0.2765853191
371	0.2756393684
372	0.2745598165
373	0.2731182663
374	0.2720350142
375	0.270907513
376	0.2696525233
377	0.2692920843
378	0.2682522904
379	0.2668092108
380	0.2667128375
381	0.265749318
382	0.265654639
383	0.2642704225
384	0.2641777751
385	0.2640868769
386	0.2624532144
387	0.261447696
388	0.2613584218
389	0.2604256258
390	0.2595566656
391	0.2585234
392	0.2571935571
393	0.2568673562
394	0.2565580211
395	0.255578535
396	0.255285019
397	0.2541518835
398	0.2540655093
399	0.2531690617
400	0.252308361
401	0.2520252738
402	0.2507280014
403	0.2498476716
404	0.2497641006
405	0.2488481075
406	0.2479829137
407	0.2479013861
408	0.2470655357
409	0.2457964225
410	0.2457173073
411	0.2448228474
412	0.2447450003
413	0.2439349887
414	0.2430113535
415	0.2417850128
416	0.2417087457
417	0.2408351645
418	0.23947437
419	0.2382965367
420	0.237450287
421	0.2373749925
422	0.2373011171
423	0.2361346742
424	0.2349989058
425	0.2341788593
426	0.2339073371
427	0.2326247969
428	0.2318475683
429	0.2306664935
430	0.2298849689
431	0.229621671
432	0.228395767
433	0.2276537415
434	0.2267989766
435	0.2264244163
436	0.2260621781
437	0.2252621324
