iter	Passed	Remaining
0	1	1480
1	2	1008
2	3	979
3	4	969
4	6	1108
5	8	1130
6	9	1089
7	11	1091
8	12	1063
9	13	1050
10	13	1000
11	14	973
12	16	972
13	17	963
14	18	943
15	18	925
16	19	897
17	20	881
18	21	863
19	21	843
20	21	815
21	22	799
22	23	788
23	24	779
24	24	767
25	25	752
26	25	738
27	26	723
28	26	710
29	27	698
30	27	683
31	28	672
32	28	661
33	28	648
34	29	637
35	29	626
36	29	616
37	30	604
38	30	595
39	30	587
40	31	578
41	31	570
42	31	563
43	32	557
44	32	552
45	33	546
46	33	539
47	34	533
48	34	526
49	34	521
50	35	516
51	35	512
52	36	507
53	36	502
54	36	497
55	37	493
56	37	489
57	37	485
58	38	482
59	38	480
60	39	478
61	39	475
62	40	472
63	40	469
64	41	466
65	41	465
66	42	462
67	42	460
68	43	457
69	43	454
70	43	450
71	44	447
72	44	444
73	44	441
74	45	438
75	45	435
76	46	432
77	46	429
78	46	428
79	47	425
80	47	425
81	48	424
82	48	421
83	49	419
84	49	417
85	50	416
86	50	414
87	50	412
88	51	410
89	51	408
90	52	405
91	52	403
92	52	401
93	53	399
94	53	397
95	54	399
96	54	398
97	55	396
98	55	394
99	56	392
100	56	390
101	56	388
102	57	386
103	57	384
104	57	382
105	58	381
106	59	385
107	60	385
108	60	384
109	61	383
110	61	381
111	61	380
112	62	378
113	62	378
114	63	376
115	63	375
116	64	373
117	64	372
118	64	370
119	65	369
120	65	368
121	66	367
122	66	365
123	66	364
124	67	363
125	68	366
126	69	370
127	70	369
128	71	370
129	71	370
130	72	369
131	72	369
132	73	368
133	73	366
134	74	365
135	74	364
136	75	365
137	76	366
138	77	367
139	77	367
140	78	365
141	78	364
142	79	364
143	79	364
144	80	363
145	81	362
146	81	362
147	82	362
148	83	363
149	84	365
150	85	365
151	86	366
152	87	371
153	88	372
154	89	372
155	90	372
156	90	372
157	91	372
158	92	372
159	93	372
160	93	371
161	94	373
162	95	375
163	96	375
164	97	374
165	98	374
166	98	375
167	99	375
168	100	375
169	101	374
170	101	374
171	102	374
172	103	374
173	105	377
174	105	378
175	106	378
176	107	377
177	108	377
178	108	377
179	109	377
180	110	377
181	111	377
182	112	377
183	113	380
184	114	381
185	115	380
