iter	RMSE
0	5.240964755
1	5.102093934
2	4.960116814
3	4.826070351
4	4.698053514
5	4.575600944
6	4.452049628
7	4.33801901
8	4.224488611
9	4.111775402
10	4.008128453
11	3.901848302
12	3.801335784
13	3.703866845
14	3.606791159
15	3.511981545
16	3.419538809
17	3.330795567
18	3.243565145
19	3.158553457
20	3.076082993
21	3.000487089
22	2.923369945
23	2.850262536
24	2.776999152
25	2.70446596
26	2.636969646
27	2.57229637
28	2.504543969
29	2.444252421
30	2.382295867
31	2.326990611
32	2.270552963
33	2.210193988
34	2.155021336
35	2.101848837
36	2.047771959
37	2.000833317
38	1.953122835
39	1.90566777
40	1.857526912
41	1.810801254
42	1.765176091
43	1.72151981
44	1.679770984
45	1.639728232
46	1.601854679
47	1.562457016
48	1.525366973
49	1.489192817
50	1.453639494
51	1.417564379
52	1.390823157
53	1.357772268
54	1.327131042
55	1.296359638
56	1.267704615
57	1.239442867
58	1.21085117
59	1.186313599
60	1.159249325
61	1.133977432
62	1.1099976
63	1.086907852
64	1.064776779
65	1.043265555
66	1.021058811
67	1.000842674
68	0.9801636348
69	0.9589213007
70	0.9393720116
71	0.9226338892
72	0.9063370515
73	0.8914082026
74	0.8747795936
75	0.855549918
76	0.8385350438
77	0.8209814682
78	0.8046457181
79	0.7896378728
80	0.7749840841
81	0.7620749957
82	0.749292461
83	0.7341766259
84	0.7199215215
85	0.7057170042
86	0.6923555155
87	0.6814229319
88	0.6700440321
89	0.6576902175
90	0.645710471
91	0.6357697732
92	0.6240705789
93	0.6141522688
94	0.6036527004
95	0.5935661046
96	0.5836711003
97	0.5751864348
98	0.5664212354
99	0.5571425171
100	0.5499001779
101	0.5395811554
102	0.5319021193
103	0.5250302035
104	0.5164371494
105	0.5091145514
106	0.5015235262
107	0.4945114985
108	0.4875325709
109	0.4820473421
110	0.4750032671
111	0.4675721585
112	0.4613792267
113	0.4573301346
114	0.4516101015
115	0.4457582968
116	0.4409517016
117	0.4350673151
118	0.4297307555
119	0.4245130481
120	0.4194845279
121	0.4149098167
122	0.4116974058
123	0.4067377125
124	0.4023296552
125	0.3976585913
126	0.394173417
127	0.3893750521
128	0.3855816656
129	0.3815215847
130	0.3778441679
131	0.374119395
132	0.3704377354
133	0.3662450289
134	0.3623203978
135	0.3589009434
136	0.3564211534
137	0.3532875743
138	0.3502294881
139	0.3464177889
140	0.3434348652
141	0.3409939625
142	0.3376055577
143	0.3351737461
144	0.3323233994
145	0.3294694123
146	0.3266665343
147	0.3245006872
148	0.3223086449
149	0.3195109283
150	0.3164921849
151	0.3146873616
152	0.312036342
153	0.3097460669
154	0.3073377833
155	0.3053163364
156	0.3035453048
157	0.3017944299
158	0.2997185735
159	0.2976144555
160	0.2954561722
161	0.2936742113
162	0.291639085
163	0.2893341751
164	0.2876208882
165	0.2859570779
166	0.2846524007
167	0.2828473297
168	0.2813592828
169	0.2795336965
170	0.278197405
171	0.2766932805
172	0.2752562157
173	0.274012907
174	0.272600749
175	0.2714265635
176	0.270105898
177	0.2684329544
178	0.2672363857
179	0.2660760011
180	0.2649268494
181	0.2638767647
182	0.2628681038
183	0.2616568455
184	0.2604079782
185	0.2591401841
186	0.2580185738
187	0.2566437964
188	0.2554516561
189	0.2539780514
190	0.2526996674
191	0.2515203935
192	0.2503787732
193	0.2493719514
194	0.2482251858
195	0.2470446847
196	0.2460076891
197	0.2452604892
198	0.2443530297
199	0.2432836401
