iter	Passed	Remaining
0	0	1165
1	1	860
2	1	757
3	1	661
4	2	640
5	2	599
6	2	559
7	2	522
8	3	505
9	3	474
10	3	452
11	3	444
12	3	435
13	3	421
14	4	412
15	4	401
16	4	392
17	4	381
18	4	378
19	4	368
20	5	368
21	5	360
22	5	358
23	5	356
24	5	349
25	6	347
26	6	345
27	6	339
28	6	334
29	6	337
30	7	340
31	7	337
32	7	335
33	7	337
34	8	334
35	8	331
36	8	330
37	8	327
38	8	327
39	8	327
40	9	327
41	9	324
42	9	323
43	9	323
44	9	320
45	10	316
46	10	313
47	10	312
48	10	310
49	10	309
50	10	309
51	11	309
52	11	310
53	11	310
54	11	308
55	11	306
56	11	303
57	12	302
58	12	302
59	12	302
60	12	300
61	12	299
62	13	299
63	13	299
64	13	299
65	13	298
66	13	296
67	14	296
68	14	295
69	14	294
70	14	294
71	14	293
72	14	293
73	15	291
74	15	291
75	15	290
76	15	290
77	15	289
78	16	288
79	16	288
80	16	289
81	16	289
82	17	290
83	17	290
84	17	289
85	17	288
86	17	289
87	18	289
88	18	289
89	18	288
90	18	287
91	18	287
92	18	286
93	19	285
94	19	285
95	19	284
96	19	283
97	19	284
98	20	284
99	20	283
100	20	282
101	20	282
102	20	282
103	21	282
104	21	281
105	21	282
106	21	282
107	21	282
108	22	284
109	22	284
110	22	283
111	22	283
112	23	283
113	23	282
114	23	282
115	23	282
116	23	282
117	24	281
118	24	281
119	24	281
120	24	282
121	25	283
122	25	283
123	25	282
124	25	282
125	25	282
126	26	282
127	26	282
128	26	282
129	26	282
130	27	282
131	27	281
132	27	281
133	27	280
134	27	280
135	27	280
136	28	280
137	28	280
138	28	279
139	28	279
140	28	279
141	29	279
142	29	278
143	29	278
144	29	277
145	29	277
146	30	277
147	30	276
148	30	276
149	30	275
150	30	275
151	30	274
152	31	274
153	31	273
154	31	273
155	31	273
156	31	272
157	32	272
158	32	271
159	32	271
160	32	271
161	32	271
162	33	271
163	33	271
164	33	271
165	33	271
166	33	271
167	34	272
168	34	273
169	34	273
170	35	273
171	35	272
172	35	272
173	35	272
174	35	272
175	36	271
176	36	272
177	36	271
178	36	271
179	37	271
180	37	271
181	37	271
182	37	270
183	37	270
184	38	270
185	38	270
186	38	270
187	38	270
188	38	270
189	39	269
190	39	269
191	39	269
192	39	269
193	39	268
194	40	268
195	40	268
196	40	268
197	40	268
198	40	267
199	41	267
200	41	267
201	41	268
202	42	268
203	42	268
204	42	268
205	42	268
206	42	268
207	43	268
208	43	267
209	43	267
210	43	267
211	43	267
212	44	267
213	44	266
214	44	266
215	44	266
216	45	266
217	45	265
218	45	265
219	45	265
220	45	265
221	46	264
222	46	264
223	46	264
224	46	264
225	46	263
226	47	263
227	47	264
228	47	264
229	47	264
230	48	264
231	48	264
232	48	264
233	48	264
234	49	263
235	49	263
236	49	263
237	49	263
238	49	263
239	50	263
240	50	263
241	50	263
242	50	263
243	51	263
244	51	263
245	51	263
246	51	262
247	52	263
248	52	263
249	52	264
250	53	264
251	53	264
252	53	263
253	53	263
254	53	263
255	54	263
256	54	263
257	54	263
258	54	262
259	55	263
260	55	262
261	55	262
262	55	262
263	55	262
264	56	261
265	56	261
266	56	261
267	56	261
268	56	260
269	57	260
270	57	260
271	57	260
272	57	260
273	58	260
274	58	260
275	58	260
276	58	260
277	59	260
278	59	260
279	59	261
280	60	261
281	60	260
282	60	260
283	60	260
284	61	260
285	61	259
286	61	259
287	61	259
288	61	259
289	62	259
290	62	259
291	62	258
292	62	258
293	63	258
294	63	258
295	63	259
296	64	260
297	64	260
298	64	260
299	65	260
300	65	260
301	65	260
302	65	260
303	66	260
304	66	260
305	66	260
306	67	260
307	67	261
308	67	261
309	68	261
310	68	261
311	68	261
312	68	260
313	68	260
314	69	260
315	69	260
316	69	260
317	70	260
318	70	260
319	70	260
320	70	259
321	70	259
322	71	259
323	71	259
324	71	258
325	72	259
326	72	259
327	72	259
328	73	261
329	73	261
330	74	261
331	74	261
332	74	261
333	74	261
334	75	261
335	75	261
336	75	261
337	75	260
338	76	260
339	76	261
340	76	260
341	77	260
342	77	260
343	77	260
344	77	260
345	77	259
346	78	259
347	78	259
348	78	259
349	78	258
350	78	258
351	79	258
352	79	257
353	79	257
354	79	257
355	80	257
356	80	257
357	80	257
358	81	257
359	81	257
360	81	257
361	81	257
362	82	256
363	82	256
364	82	256
365	82	256
366	82	256
367	83	255
368	83	255
369	83	255
370	83	255
371	84	255
372	84	254
373	84	254
374	84	254
375	85	254
376	85	253
377	85	253
378	85	253
379	85	253
380	86	253
381	86	253
382	86	253
383	87	253
384	87	253
385	87	252
386	87	252
387	88	252
388	88	252
389	88	251
390	88	251
391	88	251
392	89	250
393	89	250
394	89	250
395	89	250
396	89	249
397	90	249
398	90	249
399	90	248
400	90	248
401	90	248
402	91	248
403	91	248
404	91	247
405	91	247
406	92	247
407	92	247
408	92	247
409	92	247
410	93	246
411	93	246
412	93	246
413	93	246
414	94	246
415	94	246
416	94	246
417	94	245
418	95	245
419	95	245
420	95	245
421	95	244
422	96	244
423	96	244
424	96	243
425	96	243
426	96	243
427	97	243
428	97	242
429	97	242
430	97	242
431	97	241
432	98	241
433	98	241
434	98	241
435	98	241
436	98	240
437	99	240
438	99	240
439	99	240
440	100	240
441	100	240
442	100	239
443	101	240
444	101	240
445	101	239
446	101	239
447	102	239
448	102	239
449	102	239
450	102	239
451	103	238
452	103	238
453	103	238
454	103	238
455	103	237
456	104	237
457	104	237
458	104	237
459	104	237
460	105	237
461	105	236
462	105	236
463	105	236
464	106	236
465	106	235
466	106	235
467	106	235
468	106	234
469	107	234
470	107	234
471	107	234
472	107	233
473	108	233
474	108	233
475	108	233
476	108	233
477	109	233
478	109	233
479	109	232
480	109	232
481	110	232
482	110	232
483	110	232
484	110	231
485	110	231
486	111	231
487	111	230
488	111	230
489	111	230
490	112	230
491	112	229
492	112	229
493	112	229
494	112	229
495	113	228
496	113	228
497	113	228
498	113	228
499	113	227
500	114	227
501	114	227
502	114	227
503	114	226
504	114	226
505	115	226
506	115	225
507	115	225
508	115	225
509	115	225
